"value","value href","value 2","value href 2","value 3","value 4","value 5","value 6","value 7","greyText","value 8","value 9","value 10","value 11","staticStar","value 12","value href 3","value 13","value href 4","value 14","greyText 4","greyText 5","value 15","value 16","date_read_value","darkGreyText","value href 5","value src"
"Games: A Love Story","https://www.goodreads.com/book/show/241097263-games","Volkova, Anna Maria","https://www.goodreads.com/author/show/38758695.Anna_Maria_Volkova","*","0063437724","9780063437722","0063437724","432","pp","3.65","4,448","Jun 30, 2026","Jun 30, 2026","liked it","0","https://www.goodreads.com/review/show/8919911971","0","https://www.goodreads.com/rating/voters/8919911971?resource_type=Review","1","not set","not set","Sep 04, 2026","Hardcover","","","",""
"The Compound","https://www.goodreads.com/book/show/218460337-the-compound","Rawle, Aisling","https://www.goodreads.com/author/show/51780718.Aisling_Rawle","","0593977270","9780593977279","0593977270","292","pp","3.52","173,800","Jun 24, 2025","Jun 24, 2025","really liked it","0","https://www.goodreads.com/review/show/8902415457","0","https://www.goodreads.com/rating/voters/8902415457?resource_type=Review","1","not set","not set","Aug 29, 2026","Hardcover","","","",""
"Culpability","https://www.goodreads.com/book/show/222259253-culpability","Holsinger, Bruce","https://www.goodreads.com/author/show/7231634.Bruce_Holsinger","*","1954118961","9781954118966","1954118961","350","pp","3.98","102,260","Jul 08, 2025","Jul 08, 2025","liked it","0","https://www.goodreads.com/review/show/8876761572","0","https://www.goodreads.com/rating/voters/8876761572?resource_type=Review","1","not set","not set","Aug 20, 2026","Hardcover","","","",""
"The Secret of Our Success: How Culture Is Driving Human Evolution, Domesticating Our Species, and Making Us Smarter","https://www.goodreads.com/book/show/25761655-the-secret-of-our-success","Henrich, Joseph","https://www.goodreads.com/author/show/526072.Joseph_Henrich","","0691166854","9780691166858","0691166854","456","pp","4.39","2,323","Oct 15, 2015","Oct 15, 2015","really liked it","0","https://www.goodreads.com/review/show/8876441494","0","https://www.goodreads.com/rating/voters/8876441494?resource_type=Review","1","not set","not set","Aug 20, 2026","Hardcover","","","",""
"No Country for Old Men","https://www.goodreads.com/book/show/23515727-no-country-for-old-men","McCarthy, Cormac","https://www.goodreads.com/author/show/4178.Cormac_McCarthy","","0375706674","9780375706677","0375706674","309","pp","4.17","269,384","Jul 19, 2005","Jul 11, 2006","it was amazing","0","https://www.goodreads.com/review/show/8871831881","0","https://www.goodreads.com/rating/voters/8871831881?resource_type=Review","1","","","Aug 18, 2026","Paperback","Aug 20, 2026","","",""
"Signal Fires","https://www.goodreads.com/book/show/59573299-signal-fires","Shapiro, Dani","https://www.goodreads.com/author/show/13932.Dani_Shapiro","*","0593534727","9780593534724","0593534727","229","pp","3.90","39,976","Oct 18, 2022","Oct 11, 2022","really liked it","0","https://www.goodreads.com/review/show/8871685236","0","https://www.goodreads.com/rating/voters/8871685236?resource_type=Review","1","not set","not set","Aug 18, 2026","Hardcover","","","",""
"Heart the Lover","https://www.goodreads.com/book/show/228110489-heart-the-lover","King, Lily","https://www.goodreads.com/author/show/117786.Lily_King","*","0802165176","9780802165176","0802165176","256","pp","4.16","485,895","Sep 30, 2025","Sep 30, 2025","it was amazing","1","https://www.goodreads.com/review/show/8620559393","1","https://www.goodreads.com/rating/voters/8620559393?resource_type=Review","1","not set","not set","May 21, 2026","Hardcover","","","",""
"When Genius Failed: The Rise and Fall of Long-Term Capital Management","https://www.goodreads.com/book/show/10669.When_Genius_Failed","Lowenstein, Roger","https://www.goodreads.com/author/show/762.Roger_Lowenstein","","0375758259","9780375758256","0375758259","264","pp","4.20","32,470","Jan 01, 2000","Oct 09, 2001","it was amazing","0","https://www.goodreads.com/review/show/8579024229","0","https://www.goodreads.com/rating/voters/8579024229?resource_type=Review","1","not set","not set","May 05, 2026","Paperback","","","",""
"Strangers: A Memoir of Marriage","https://www.goodreads.com/book/show/231108670-strangers","Burden, Belle","https://www.goodreads.com/author/show/55635041.Belle_Burden","","0593733312","9780593733318","0593733312","256","pp","4.07","337,391","Jan 13, 2026","Jan 13, 2026","liked it","1","https://www.goodreads.com/review/show/8509636412","0","https://www.goodreads.com/rating/voters/8509636412?resource_type=Review","1","not set","not set","Apr 09, 2026","Hardcover","","","",""
"Fates and Furies","https://www.goodreads.com/book/show/24612118-fates-and-furies","Groff, Lauren","https://www.goodreads.com/author/show/690619.Lauren_Groff","*","1594634475","9781594634475","1594634475","390","pp","3.59","151,481","Sep 15, 2015","Sep 15, 2015","really liked it","1","https://www.goodreads.com/review/show/8461584821","1","https://www.goodreads.com/rating/voters/8461584821?resource_type=Review","1","","","Mar 23, 2026","Hardcover","Aug 23, 2026","","",""
"Glorious Exploits","https://www.goodreads.com/book/show/127278133-glorious-exploits","Lennon, Ferdia","https://www.goodreads.com/author/show/16669648.Ferdia_Lennon","*","1250893690","9781250893697","1250893690","304","pp","4.12","29,250","Jan 18, 2024","Mar 26, 2024","really liked it","0","https://www.goodreads.com/review/show/8443819845","0","https://www.goodreads.com/rating/voters/8443819845?resource_type=Review","1","","","Mar 16, 2026","Hardcover","Mar 17, 2026","","",""
"Den of Thieves","https://www.goodreads.com/book/show/1972.Den_of_Thieves","Stewart, James B.","https://www.goodreads.com/author/show/1328.James_B_Stewart","","067179227X","9780671792275","067179227X","592","pp","4.16","15,337","Oct 15, 1991","Sep 01, 1992","really liked it","0","https://www.goodreads.com/review/show/8442455560","0","https://www.goodreads.com/rating/voters/8442455560?resource_type=Review","1","","","Mar 16, 2026","Paperback","Aug 18, 2026","","",""
"The Three-Body Problem","https://www.goodreads.com/book/show/20518872-the-three-body-problem","Liu, Cixin","https://www.goodreads.com/author/show/5780686.Liu_Cixin","*","","","B0FSKPZRGZ","472","pp","4.08","538,398","May 01, 2006","Nov 11, 2014","really liked it","0","https://www.goodreads.com/review/show/8406891768","0","https://www.goodreads.com/rating/voters/8406891768?resource_type=Review","1","","","Mar 03, 2026","Hardcover","Mar 16, 2026","(Remembrance of Earth’s Past, #1)","",""
"More Money Than God: Hedge Funds and the Making of a New Elite","https://www.goodreads.com/book/show/7936425-more-money-than-god","Mallaby, Sebastian","https://www.goodreads.com/author/show/50019.Sebastian_Mallaby","","1594202559","9781594202551","1594202559","496","pp","4.11","10,049","Jan 01, 2010","Jun 10, 2010","really liked it","0","https://www.goodreads.com/review/show/8384720958","0","https://www.goodreads.com/rating/voters/8384720958?resource_type=Review","1","","","Feb 23, 2026","Hardcover","Sep 21, 2026","","",""
"Liar's Poker","https://www.goodreads.com/book/show/7865083-liar-s-poker","Lewis, Michael","https://www.goodreads.com/author/show/776.Michael_Lewis","","039333869X","9780393338690","039333869X","310","pp","4.14","115,344","Oct 17, 1989","Mar 15, 2010","really liked it","0","https://www.goodreads.com/review/show/8366937845","0","https://www.goodreads.com/rating/voters/8366937845?resource_type=Review","1","","","Feb 17, 2026","Paperback","Mar 12, 2026","","",""
"Barbarians at the Gate: The Fall of RJR Nabisco","https://www.goodreads.com/book/show/781182.Barbarians_at_the_Gate","Burrough, Bryan","https://www.goodreads.com/author/show/32587.Bryan_Burrough","","0060536357","9780060536350","0060536357","592","pp","4.29","46,079","1989","Dec 13, 2005","it was amazing","0","https://www.goodreads.com/review/show/8366934845","0","https://www.goodreads.com/rating/voters/8366934845?resource_type=Review","2","not set","not set","Feb 17, 2026","Paperback","Feb 17, 2026","","",""
"Exercised: Why Something We Never Evolved to Do Is Healthy and Rewarding","https://www.goodreads.com/book/show/49358915-exercised","Lieberman, Daniel E.","https://www.goodreads.com/author/show/3186364.Daniel_E_Lieberman","","1524746983","9781524746988","1524746983","464","pp","4.17","11,093","2021","Jan 05, 2021","really liked it","0","https://www.goodreads.com/review/show/8174438064","0","https://www.goodreads.com/rating/voters/8174438064?resource_type=Review","1","","","Dec 25, 2025","Hardcover","Mar 19, 2026","","",""
"Einstein’s Dreams","https://www.goodreads.com/book/show/14376.Einstein_s_Dreams","Lightman, Alan","https://www.goodreads.com/author/show/8933.Alan_Lightman","*","140007780X","9781400077809","B071RC7J84","140","pp","4.06","43,880","1993","Nov 09, 2004","really liked it","0","https://www.goodreads.com/review/show/8172800150","0","https://www.goodreads.com/rating/voters/8172800150?resource_type=Review","1","","","Dec 24, 2025","Paperback","Dec 25, 2025","","",""
"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street","https://www.goodreads.com/book/show/32284263-black-edge","Kolhatkar, Sheelah","https://www.goodreads.com/author/show/15890821.Sheelah_Kolhatkar","*","0812995805","9780812995800","0812995805","295","pp","4.20","17,636","Feb 07, 2017","Feb 07, 2017","really liked it","0","https://www.goodreads.com/review/show/7974239514","0","https://www.goodreads.com/rating/voters/7974239514?resource_type=Review","1","","","Oct 07, 2025","Hardcover","Feb 23, 2026","","",""
"Monsters: A Fan's Dilemma","https://www.goodreads.com/book/show/61685822-monsters","Dederer, Claire","https://www.goodreads.com/author/show/4113888.Claire_Dederer","","0525655115","9780525655114","0525655115","257","pp","3.66","24,908","Apr 25, 2023","Apr 25, 2023","liked it","0","https://www.goodreads.com/review/show/7846755127","0","https://www.goodreads.com/rating/voters/7846755127?resource_type=Review","1","","","Aug 20, 2025","Hardcover","Aug 21, 2025","","",""
"Monstrilio","https://www.goodreads.com/book/show/62888191-monstrilio","Sámano Córdova, Gerardo","https://www.goodreads.com/author/show/22926208.Gerardo_S_mano_C_rdova","*","1638930368","9781638930365","1638930368","336","pp","4.05","53,018","Mar 07, 2023","Mar 07, 2023","it was amazing","0","https://www.goodreads.com/review/show/7635624047","0","https://www.goodreads.com/rating/voters/7635624047?resource_type=Review","1","","","Jun 07, 2025","Hardcover","Jun 12, 2025","","",""
"A Sport and a Pastime","https://www.goodreads.com/book/show/114511.A_Sport_and_a_Pastime","Salter, James","https://www.goodreads.com/author/show/11298.James_Salter","","0374530505","9780374530501","0374530505","185","pp","3.64","12,030","1967","Aug 22, 2006","liked it","0","https://www.goodreads.com/review/show/7635618782","0","https://www.goodreads.com/rating/voters/7635618782?resource_type=Review","1","","","Jun 07, 2025","Paperback","Jun 07, 2025","","",""
"Yellowface","https://www.goodreads.com/book/show/62047984-yellowface","Kuang, R.F.","https://www.goodreads.com/author/show/16820001.R_F_Kuang","*","","","B0FSJTV674","319","pp","3.72","1,171,459","May 16, 2023","May 25, 2023","really liked it","0","https://www.goodreads.com/review/show/7626627395","0","https://www.goodreads.com/rating/voters/7626627395?resource_type=Review","1","","","Jun 04, 2025","Paperback","Jun 06, 2025","","",""
"Translation State","https://www.goodreads.com/book/show/62873999-translation-state","Leckie, Ann","https://www.goodreads.com/author/show/3365457.Ann_Leckie","*","031628971X","9780316289719","031628971X","422","pp","4.05","18,801","Jun 06, 2023","Jun 06, 2023","really liked it","0","https://www.goodreads.com/review/show/7615857014","0","https://www.goodreads.com/rating/voters/7615857014?resource_type=Review","1","not set","not set","May 31, 2025","Hardcover","","","",""
"Remarkably Bright Creatures","https://www.goodreads.com/book/show/58733693-remarkably-bright-creatures","Van Pelt, Shelby","https://www.goodreads.com/author/show/21374195.Shelby_Van_Pelt","","0063204150","9780063204157","0063204150","360","pp","4.35","1,587,629","May 03, 2022","May 03, 2022","really liked it","0","https://www.goodreads.com/review/show/7593858751","0","https://www.goodreads.com/rating/voters/7593858751?resource_type=Review","1","","","May 23, 2025","Hardcover","Jun 04, 2025","","",""
"If You Could See the Sun","https://www.goodreads.com/book/show/60099660-if-you-could-see-the-sun","Liang, Ann","https://www.goodreads.com/author/show/16624571.Ann_Liang","*","1335915842","9781335915849","1335915842","346","pp","3.99","64,768","Oct 11, 2022","Oct 11, 2022","","0","https://www.goodreads.com/review/show/7523169347","0","https://www.goodreads.com/rating/voters/7523169347?resource_type=Review","1","not set","not set","Apr 27, 2025","Hardcover","","","",""
"The End of Loneliness","https://www.goodreads.com/book/show/35456277-the-end-of-loneliness","Wells, Benedict","https://www.goodreads.com/author/show/1893900.Benedict_Wells","*","","","B071FMXS9P","274","pp","4.37","72,844","Feb 24, 2016","Mar 08, 2018","liked it","0","https://www.goodreads.com/review/show/7481798887","0","https://www.goodreads.com/rating/voters/7481798887?resource_type=Review","1","not set","not set","Apr 11, 2025","Kindle Edition","","","",""
"Perfume: The Story of a Murderer","https://www.goodreads.com/book/show/343.Perfume","Süskind, Patrick","https://www.goodreads.com/author/show/39402.Patrick_S_skind","","","","B0FSL3CGGD","263","pp","4.04","586,431","Feb 26, 1985","1987","really liked it","0","https://www.goodreads.com/review/show/7480740063","0","https://www.goodreads.com/rating/voters/7480740063?resource_type=Review","1","","","Apr 11, 2025","Paperback","Jun 08, 2025","","",""
"Milk Fed","https://www.goodreads.com/book/show/54304105-milk-fed","Broder, Melissa","https://www.goodreads.com/author/show/3192838.Melissa_Broder","*","1982142499","9781982142490","1982142499","304","pp","3.55","86,540","Feb 02, 2021","Feb 02, 2021","liked it","0","https://www.goodreads.com/review/show/7423506722","0","https://www.goodreads.com/rating/voters/7423506722?resource_type=Review","1","","","Mar 21, 2025","Hardcover","Jun 12, 2025","","",""
"The Favorites","https://www.goodreads.com/book/show/211399784-the-favorites","Fargo, Layne","https://www.goodreads.com/author/show/17861597.Layne_Fargo","*","0593732049","9780593732045","0593732049","448","pp","4.02","285,904","Jan 14, 2025","Jan 14, 2025","really liked it","0","https://www.goodreads.com/review/show/7414155639","0","https://www.goodreads.com/rating/voters/7414155639?resource_type=Review","1","not set","not set","Mar 18, 2025","Hardcover","","","",""
"The Handmaid's Tale","https://www.goodreads.com/book/show/34454589-the-handmaid-s-tale","Atwood, Margaret","https://www.goodreads.com/author/show/3472.Margaret_Atwood","*","1328879941","9781328879943","1328879941","320","pp","4.16","2,564,072","Apr 17, 1985","Apr 25, 2017","really liked it","0","https://www.goodreads.com/review/show/7411388510","0","https://www.goodreads.com/rating/voters/7411388510?resource_type=Review","1","not set","not set","Mar 17, 2025","Hardcover","","","https://www.goodreads.com/book/show/34454589-the-handmaid-s-tale","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488552336l/34454589._SY75_.jpg"
"Swimming in the Dark","https://www.goodreads.com/book/show/49977811-swimming-in-the-dark","Jedrowski, Tomasz","https://www.goodreads.com/author/show/19076173.Tomasz_Jedrowski","*","006289000X","9780062890009","006289000X","191","pp","4.24","91,249","Feb 06, 2020","Apr 28, 2020","liked it","0","https://www.goodreads.com/review/show/7402779013","0","https://www.goodreads.com/rating/voters/7402779013?resource_type=Review","1","","","Mar 14, 2025","Hardcover","Mar 17, 2025","","https://www.goodreads.com/book/show/49977811-swimming-in-the-dark","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568668356l/49977811._SY75_.jpg"
"Out of Love","https://www.goodreads.com/book/show/50705453-out-of-love","Hayes, Hazel","https://www.goodreads.com/author/show/18657219.Hazel_Hayes","","1783528966","9781783528967","1783528966","384","pp","3.80","20,259","Jun 11, 2020","Jun 11, 2020","really liked it","0","https://www.goodreads.com/review/show/7372878350","0","https://www.goodreads.com/rating/voters/7372878350?resource_type=Review","1","not set","not set","Mar 03, 2025","Paperback","","","https://www.goodreads.com/book/show/50705453-out-of-love","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580230417l/50705453._SY75_.jpg"
"Talking at Night","https://www.goodreads.com/book/show/62583508-talking-at-night","Daverley, Claire","https://www.goodreads.com/author/show/22278494.Claire_Daverley","*","0593653483","9780593653487","0593653483","400","pp","3.88","88,994","Jun 06, 2023","Jun 20, 2023","really liked it","0","https://www.goodreads.com/review/show/7294726793","0","https://www.goodreads.com/rating/voters/7294726793?resource_type=Review","1","","","Feb 05, 2025","Hardcover","Mar 15, 2025","","https://www.goodreads.com/book/show/62583508-talking-at-night","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681244420l/62583508._SY75_.jpg"
"Shuggie Bain","https://www.goodreads.com/book/show/52741293-shuggie-bain","Stuart, Douglas","https://www.goodreads.com/author/show/19629033.Douglas_Stuart","*","0802148042","9780802148049","0802148042","430","pp","4.30","207,054","Feb 11, 2020","Feb 11, 2020","liked it","0","https://www.goodreads.com/review/show/7225405915","0","https://www.goodreads.com/rating/voters/7225405915?resource_type=Review","1","not set","not set","Jan 17, 2025","Hardcover","","","https://www.goodreads.com/book/show/52741293-shuggie-bain","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602094778l/52741293._SY75_.jpg"
"Sirens & Muses","https://www.goodreads.com/book/show/59336344-sirens-muses","Angress, Antonia","https://www.goodreads.com/author/show/21196305.Antonia_Angress","*","","9780593496435","0593496434","368","pp","3.87","18,388","Jul 12, 2022","Jul 12, 2022","liked it","0","https://www.goodreads.com/review/show/7214682574","0","https://www.goodreads.com/rating/voters/7214682574?resource_type=Review","1","","","Jan 14, 2025","Hardcover","Jan 18, 2025","","https://www.goodreads.com/book/show/59336344-sirens-muses","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1635699132l/59336344._SY75_.jpg"
"Wild Blood","https://www.goodreads.com/book/show/25779091-wild-blood","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0545683009","9780545683005","0545683009","208","pp","4.13","381","Jan 05, 2016","Jan 05, 2016","","0","https://www.goodreads.com/review/show/7210357822","0","https://www.goodreads.com/rating/voters/7210357822?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2016","(Horses of the Dawn #3)","https://www.goodreads.com/book/show/25779091-wild-blood","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436842793l/25779091._SY75_.jpg"
"Star Rise","https://www.goodreads.com/book/show/22323660-star-rise","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0545397170","9780545397179","0545397170","208","pp","4.16","585","Jan 06, 2015","Dec 30, 2014","","0","https://www.goodreads.com/review/show/7210356626","0","https://www.goodreads.com/rating/voters/7210356626?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2015","(Horses of the Dawn, #2)","https://www.goodreads.com/book/show/22323660-star-rise","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403394836l/22323660._SY75_.jpg"
"The Escape","https://www.goodreads.com/book/show/17981406-the-escape","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0545397162","9780545397162","0545397162","240","pp","3.99","1,355","Jan 01, 2014","Jan 07, 2014","","0","https://www.goodreads.com/review/show/7210355244","0","https://www.goodreads.com/rating/voters/7210355244?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2015","(Horses of the Dawn, #1)","https://www.goodreads.com/book/show/17981406-the-escape","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390434527l/17981406._SY75_.jpg"
"The Rise of a Legend","https://www.goodreads.com/book/show/17166341-the-rise-of-a-legend","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0545509785","9780545509787","0545509785","304","pp","4.33","1,701","Jul 30, 2013","Jul 30, 2013","","0","https://www.goodreads.com/review/show/7210349531","0","https://www.goodreads.com/rating/voters/7210349531?resource_type=Review","1","not set","","Jan 13, 2025","Hardcover","Jan 13, 2014","(Guardians of Ga'Hoole, #16)","https://www.goodreads.com/book/show/17166341-the-rise-of-a-legend","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362537671l/17166341._SY75_.jpg"
"The War of the Ember","https://www.goodreads.com/book/show/3301645-the-war-of-the-ember","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439888093","9780439888097","0439888093","232","pp","4.22","5,773","Nov 01, 2008","Nov 01, 2008","","0","https://www.goodreads.com/review/show/7210348985","0","https://www.goodreads.com/rating/voters/7210348985?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #15)","https://www.goodreads.com/book/show/3301645-the-war-of-the-ember","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558125409l/3301645._SX50_.jpg"
"Exile","https://www.goodreads.com/book/show/1553885.Exile","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439888085","9780439888080","0439888085","210","pp","4.08","4,721","Feb 01, 2008","Feb 01, 2008","","0","https://www.goodreads.com/review/show/7210348371","0","https://www.goodreads.com/rating/voters/7210348371?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #14)","https://www.goodreads.com/book/show/1553885.Exile","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555022460l/1553885._SX50_.jpg"
"The River of Wind","https://www.goodreads.com/book/show/232647.The_River_of_Wind","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439888077","9780439888073","B00BG6SJ6E","202","pp","4.05","6,357","Jan 01, 2007","Jul 01, 2007","","0","https://www.goodreads.com/review/show/7210347785","0","https://www.goodreads.com/rating/voters/7210347785?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #13)","https://www.goodreads.com/book/show/232647.The_River_of_Wind","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555023300l/232647._SX50_.jpg"
"The Golden Tree","https://www.goodreads.com/book/show/35808.The_Golden_Tree","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439888069","9780439888066","0439888069","192","pp","4.04","5,743","Mar 01, 2007","Mar 01, 2007","","0","https://www.goodreads.com/review/show/7210347186","0","https://www.goodreads.com/rating/voters/7210347186?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #12)","https://www.goodreads.com/book/show/35808.The_Golden_Tree","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179697l/35808._SX50_.jpg"
"To Be a King","https://www.goodreads.com/book/show/7021.To_Be_a_King","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439795702","9780439795708","0439795702","206","pp","4.06","6,410","Oct 01, 2006","Oct 01, 2006","","0","https://www.goodreads.com/review/show/7210344935","0","https://www.goodreads.com/rating/voters/7210344935?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #11)","https://www.goodreads.com/book/show/7021.To_Be_a_King","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521755556l/7021._SX50_.jpg"
"The Coming of Hoole","https://www.goodreads.com/book/show/7024.The_Coming_of_Hoole","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439795699","9780439795692","0439795699","223","pp","4.04","6,017","Jul 01, 2006","Jul 01, 2006","","0","https://www.goodreads.com/review/show/7210344383","0","https://www.goodreads.com/rating/voters/7210344383?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #10)","https://www.goodreads.com/book/show/7024.The_Coming_of_Hoole","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179695l/7024._SX50_.jpg"
"The First Collier","https://www.goodreads.com/book/show/7029.The_First_Collier","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439795680","9780439795685","B00BG6RSSO","179","pp","4.03","6,779","Apr 01, 2005","Apr 01, 2006","","0","https://www.goodreads.com/review/show/7210343857","0","https://www.goodreads.com/rating/voters/7210343857?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #9)","https://www.goodreads.com/book/show/7029.The_First_Collier","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179696l/7029._SY75_.jpg"
"The Outcast","https://www.goodreads.com/book/show/7022.The_Outcast","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439739519","9780439739511","0439739519","207","pp","4.11","8,660","Sep 01, 2005","Sep 01, 2005","","0","https://www.goodreads.com/review/show/7210343234","0","https://www.goodreads.com/rating/voters/7210343234?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #8)","https://www.goodreads.com/book/show/7022.The_Outcast","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1292898199l/7022._SX50_.jpg"
"The Hatchling","https://www.goodreads.com/book/show/7026.The_Hatchling","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439739500","9780439739504","0439739500","221","pp","4.09","9,840","Jun 01, 2005","Jun 01, 2005","","0","https://www.goodreads.com/review/show/7210342566","0","https://www.goodreads.com/rating/voters/7210342566?resource_type=Review","1","not set","not set","Jan 13, 2025","Paperback","","(Guardians of Ga'Hoole, #7)","https://www.goodreads.com/book/show/7026.The_Hatchling","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328866936l/7026._SX50_.jpg"
"The Burning","https://www.goodreads.com/book/show/7023.The_Burning","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439405629","9780439405621","0439405629","224","pp","4.10","11,535","Nov 21, 2004","Nov 01, 2004","","0","https://www.goodreads.com/review/show/7210281263","0","https://www.goodreads.com/rating/voters/7210281263?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #6)","https://www.goodreads.com/book/show/7023.The_Burning","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328868349l/7023._SX50_.jpg"
"The Shattering","https://www.goodreads.com/book/show/7028.The_Shattering","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439405610","9780439405614","0439405610","176","pp","4.08","10,647","Aug 01, 2004","Aug 01, 2004","","0","https://www.goodreads.com/review/show/7210280520","0","https://www.goodreads.com/rating/voters/7210280520?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #5)","https://www.goodreads.com/book/show/7028.The_Shattering","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328868348l/7028._SX50_.jpg"
"The Siege","https://www.goodreads.com/book/show/7027.The_Siege","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439405602","9780439405607","0439405602","203","pp","4.12","12,229","May 01, 2004","May 01, 2004","","0","https://www.goodreads.com/review/show/7210279511","0","https://www.goodreads.com/rating/voters/7210279511?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #4)","https://www.goodreads.com/book/show/7027.The_Siege","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179700l/7027._SY75_.jpg"
"The Rescue","https://www.goodreads.com/book/show/35807.The_Rescue","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439405599","9780439405591","B07H4V1X39","198","pp","4.08","13,702","Dec 01, 2003","Jan 01, 2004","","0","https://www.goodreads.com/review/show/7210278679","0","https://www.goodreads.com/rating/voters/7210278679?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #3)","https://www.goodreads.com/book/show/35807.The_Rescue","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388179696l/35807._SX50_.jpg"
"The Journey","https://www.goodreads.com/book/show/35806.The_Journey","Lasky, Kathryn","https://www.goodreads.com/author/show/4735.Kathryn_Lasky","","0439405580","9780439405584","0439405580","242","pp","4.02","15,711","Jul 31, 2003","Sep 01, 2003","","0","https://www.goodreads.com/review/show/7210278121","0","https://www.goodreads.com/rating/voters/7210278121?resource_type=Review","1","not set","","Jan 13, 2025","Paperback","Jan 13, 2011","(Guardians of Ga'Hoole, #2)","https://www.goodreads.com/book/show/35806.The_Journey","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427583043l/35806._SY75_.jpg"
